idcliente,municipio
1070,CHAPELTIQUE
1071,CHAPELTIQUE
1072,CHAPELTIQUE
1074,CHAPELTIQUE
1076,GUATAJIAGUA
1078,CHAPELTIQUE
1084,CHAPELTIQUE
1086,CHAPELTIQUE
1087,CHAPELTIQUE
1088,CHAPELTIQUE
1092,CHAPELTIQUE
1095,CHAPELTIQUE
1102,CHAPELTIQUE
1103,CHAPELTIQUE
1111,GUATAJIAGUA
1119,CHAPELTIQUE
1122,CHAPELTIQUE
1123,CHAPELTIQUE
1124,CHAPELTIQUE
1133,CHAPELTIQUE
1136,CHAPELTIQUE
1138,CHAPELTIQUE
1140,CHAPELTIQUE
1143,CHAPELTIQUE
1144,CHAPELTIQUE
1153,CHAPELTIQUE
1168,COL LA PAZ CHAPELTIQ
1173,MONCAGUA
1179,CHAPELTIQUE
1188,CHAPELTIQUE
1195,CHAPELTIQUE
1199,GUATAJIAGUA
1201,CHAPELTIQUE
1203,CHAPELTIQUE
1204,CHAPELTIQUE
1205,CHAPELTIQUE
1206,CHAPELTIQUE
1207,CHAPELTIQUE
1208,GUATAJIAGUA
1212,CHAPELTIIQUE
1213,CHAPELTIQUE
1219,CHAPELTIQUE
1222,CHAPETIQUE
1224,CHAPELTIQUE
1225,CHAPELTIQUE
1226,CH APELTIQUE
1229,CHAPELTIQUE
1230,CHAPELTIQUE
1231,SAN  MIGUEL
1233,CHAPELTIQUE
1234,CHAPELTIQUE
1237,CHAPELTIUE
1248,CHAPEL TIQUE
1250,CHAPELTIQUE
1256,CHAPELTIQUE
1257,CHAPELTIQUE
1258,CHAPELTIQUE
1259,CHAPELTIQUE
1265,GUATAJIAGUA
1266,CHAPELTIQUE
1269,GUATAJIAGUA
1271,CHAPELTIQUE
1272,CHAPELTIQUE
1274,CHAPELTIQUE
1277,CHAPELTIQUE
1284,CHAPELTIQUE
1285,CHPELTIQUE
1286,CHAPELTIQUE
1287,CHAPELTIQUE
1289,GOTERA
1292,CHAPELTIQUE
1297,CHAPELTIQUE
1298,CHAPELTIQUE
1299,CHAPELTIQUE
1307,CHAPELTIQUE
C1037,CHAPELTIQUE
C1038,CHAPELTIQUE
C1039,CHAPELTIQUE
C1040,CHAPELTIQUE
C1041,CAROLINA
C1042,CHAPELTIQUE
C1043,CHAPELTIQUE
C1044,CHAPELTIQUE
C1045,CHAPELTIQUE
C1046,CHAPELTIQUE
C1047,CHAPELTIQUE
C1048,CHAPELTIQUE
C1049,CHAPELTIQUE
C1050,CHAPELTIQUE
C1051,CHAPELTIQUE
P1,CHAPELTIQUE
C1052,CHAPELTIQUE
C1053,SAN MARTIN
C1054,CHAPELTIQUE
C1055,CHAPELTIQUE
0001,CHAPELTIQUE
C1056,GUATAJIAGUA
C1057,CHAPELTIQUE
C1058,CHAPELTIQUE
C1059,CHAPELTIQUE
C1060,CHAPELTIQUE
C1061,CHAPELTIQUE
C1062,CHAPELTIQUE
C1063,CHAPELTIQUE
C1064,CHAPELTIQUE
C1065,GUATAJIAGUA
C1066,GUATAJIAGUA
C1067,CHINAMECA
C1068,CHAPELTIQUE
C1069,CHAPELTIQUE
C1070,GUATAJIAGUA
C1071,CHAPELTIQUE
P3,CHAPELTIQUE
C1072,CHAPELTIQUE
C1073,CHAPELTIQUE
C1074,CHAPELTIQUE
C1075,CHAPELTIQUE
C1076,CHAPELTIQUE
C1077,MONCAGUA
C1078,MONCAGUA
C1079,CHAPELTIQUE
C1080,CHAPELTIQUE
C1081,CHAPELTIQUE
C1082,CHAPELTIQUE
C1083,CHAPELTIQUE
C1084,CHAPELTIQUE
C1085,CHAPELTIQUE
C1086,CHAPELTIQUE
C1087,CHAPELTIQUE
C1088,CHAPELTIQUE
C1089,CHAPELTIQUE
C1090,CHAPELTIQUE
C1091,CHAPELTIQUE
C1092,GUATAJIAGUA
C1093,GUATAJIAGUA
C1094,CHIRILAGUA
C1095,CHAPELTIQUE
C1096,CAROLINA
C1097,CHINAMECA
C1098,CAROLINA
C1099,CHAPELTIQUE
C1100,CHAPELTIQUE
C1101,CHAPELTIQUE
C1102,CHAPELTIQUE
C1103,CHAPELTIQUE
C1104,GUATAJIAGUA
C1105,CIUDAD BARRIOS
C1106,CHAPELTIQUE
C1107,CHAPELTIQUE
C1108,CHAPELTIQUE
C1109,CHAPELTIQUE
P4,CHAPELTIQUE
C1110,GUATAJIAGUA
C1111,CHAPELTIQUE
C1112,GUATAJIAGUA
C1113,CHAPELTIQUE
C1114,CHAPELTIQUE
C1115,CHAPELTIQUE
C1116,CHAPELTIQUE
C1117,CHAPELTIQUE
C1118,CHAPELTIQUE
C1119,GUATAJIAGUA
C1120,CHAPELTIQUE
C1121,CHAPELTIQUE
C1122,CHAPELTIQUE
C1123,CHAPELTIQUE
C1124,CHAPELTIQUE
C1125,CHAPELTIQUE
C1126,CHAPELTIQUE
C1127,CHAPELTIQUE
C1128,CHAPELTIQUE
C1129,CHAPELTIQUE
C1130,CHAPELTIQUE
C1131,CHAPELTIQUE
C1132,GUATAJIAGUA
P5,CHAPELTIQUE
P6,CHAPELTIQUE
C1133,CHAPELTIQUE
C1134,CHAPELTIQUE
P7,CHAPELTIQUE
C1135,CHAPELTIQUE
C1136,CHAPELTIQUE
C1137,CHAPELTIQUE
C1138,CHAPELTIQUE
C1139,CHAPELTIQUE
C1140,CHAPELTIQUE
C1141,CHAPELTIQUE
C1142,CHAPELTIQUE
C1143,CHAPELTIQUE
C1144,CHAPELTIQUE
C1145,CHAPELTIQUE
C1146,CHAPELTIQUE
C1147,CHAPELTIQUE
C1148,CHAPELTIQUE
C1149,CHAPELTIQUE
C1150,MONCAGUA
C1151,CHAPELTIQUE
C1152,CHAPELTIQUE
C1153,CHAPELTIQUE
C1154,CHAPELTIQUE
C1155,CHAPELTIQUE
C1156,CHAPELTIQUE
P8,CHAPELTIQUE
C1157,CHAPELTIQUE
C1158,CHAPELTIQUE
C1159,CHAPELTIQUE
C1160,CHAPELTIQUE
P9,CHAPELTIQUE
P10,CHAPELTIQUE
C1161,GUATAJIAGUA
C1162,CHAPELTIQUE
C1163,CHAPELTIQUE
C1164,CHAPELTIQUE
C1165,CHAPELTIQUE
C1166,CHAPELTIQUE
C1167,CHAPELTIQUE
C1168,CHAPELTIQUE
C1169,CHAPELTIQUE
C1170,CHAPELTIQUE
C1171,CHAPELTIQUE
C1172,CHAPELTIQUE
C1173,CHAPELTIQUE
C1174,CHAPELTIQUE
C1175,CHAPELTIQUE
C1176,GUATAJIAGUA
C1177,CHAPELTIQUE
C1178,CHAPELTIQUE
C1179,CHAPELTIQUE
P11,CHAPELTIQUE
P12,CHAPELTIQUE
C1180,CHAPELTIQUE
C1181,CHAPELTIQUE
C1182,CHAPELTIQUE
C1183,CHAPELTIQUE
C1184,CHAPELTIQUE
C1185,CHAPELTIQUE
C1186,SESORI
C1187,CHAPELTIQUE
C1188,CHAPELTIQUE
C1189,CHAPELTIQUE
C1190,CHAPELTIQUE
C1191,GUATAJIAGUA
C1192,CHAPELTIQUE
C1193,CHAPELTIQUE
C1194,CHAPELTIQUE
C1195,MONCAGUA
C1196,CHAPELTIQUE
C1197,CHAPELTIQUE
C1198,CHAPELTIQUE
C1199,CAROLINA
C1200,CHAPELTIQUE
C1201,CHAPELTIQUE
C1202,CHAPELTIQUE
C1203,CHAPELTIQUE
C1204,CHAPELTIQUE
C1205,CHAPELTIQUE
C1206,CHAPELTIQUE
C1207,CHAPELTIQUE
C1208,GUATAJIAGUA
C1209,CHAPELTIQUE
C1210,CHAPELTIQUE
C1211,CHAPELTIQUE
C1212,GUATAJIAGUA
C1213,CHAPELTIQUE
C1214,CHAPELTIQUE
C1215,CHAPELTIQUE
C1216,CHAPELTIQUE
C1217,CHAPELTIQUE
C1218,CHAPELTIQUE
C1219,CHAPELTIQUE
